,Nombre,Xmin,Xmax,Ymin,Ymax,Label
0,0d58cec25a812086.jpg,0.008125,0.23625,0.214153,0.980447,Person
1,0d58cec25a812086.jpg,0.6175,0.999375,0.166667,0.999069,Person
2,05e29ee8874e1f67.jpg,0.0,0.557223,0.158125,0.999375,Person
3,05e29ee8874e1f67.jpg,0.181051,0.999062,0.03,0.999375,Person
4,384641d05187af0f.jpg,0.253125,0.335625,0.77,0.9875,Person
5,7907ed7aec01443c.jpg,0.435156,0.633594,0.228774,0.972877,Person
6,7907ed7aec01443c.jpg,0.85625,0.999219,0.509434,0.889151,Person
7,7b2fce4765c217a3.jpg,0.565556,0.713333,0.213333,0.648889,Person
8,7b2fce4765c217a3.jpg,0.0,0.261111,0.392593,0.878519,Person
9,7b2fce4765c217a3.jpg,0.0,0.276667,0.331852,0.688889,Person
10,7b2fce4765c217a3.jpg,0.136667,0.235556,0.268148,0.522963,Person
11,7b2fce4765c217a3.jpg,0.221111,0.384444,0.274074,0.54963,Person
12,7b2fce4765c217a3.jpg,0.364444,0.546667,0.253333,0.613333,Person
13,7b2fce4765c217a3.jpg,0.705556,0.906667,0.247407,0.672593,Person
14,7b2fce4765c217a3.jpg,0.801111,0.998889,0.368889,0.798519,Person
15,8569912c5f68a3a9.jpg,0.088702,0.167134,0.504375,0.57375,Person
16,8569912c5f68a3a9.jpg,0.170868,0.295985,0.1875,0.3,Person
17,7b480b698e50cf85.jpg,0.174484,0.32833,0.165625,0.319375,Person
18,7b480b698e50cf85.jpg,0.248593,0.638837,0.53625,0.7875,Person
19,fff14bdb8135e1ad.jpg,0.298125,0.906875,0.07245,0.913251,Person
20,6f10125d58dc47d5.jpg,0.239047,0.710992,0.109375,0.696875,Person
21,b0a8a2c0c0eb3bc4.jpg,0.353,0.541,0.403298,0.904048,Person
22,b0a8a2c0c0eb3bc4.jpg,0.042,0.356,0.452774,0.998501,Person
23,b0a8a2c0c0eb3bc4.jpg,0.043,0.135,0.445277,0.65967,Person
24,b0a8a2c0c0eb3bc4.jpg,0.213,0.297,0.454273,0.644678,Person
25,b0a8a2c0c0eb3bc4.jpg,0.31,0.328,0.541229,0.61919,Person
26,b0a8a2c0c0eb3bc4.jpg,0.337,0.354,0.521739,0.613193,Person
27,b0a8a2c0c0eb3bc4.jpg,0.49,0.533,0.433283,0.598201,Person
28,b0a8a2c0c0eb3bc4.jpg,0.54,0.58,0.415292,0.602699,Person
29,b0a8a2c0c0eb3bc4.jpg,0.637,0.999,0.307346,0.998501,Person
30,a5390b52204e34cf.jpg,0.3075,0.46875,0.093939,0.614141,Person
31,6f6828e16c03ca2c.jpg,0.0925,0.388125,0.2225,0.674167,Person
32,6f6828e16c03ca2c.jpg,0.5075,0.7675,0.1925,0.696667,Person
33,86e5bc9c181b6d8c.jpg,0.285,0.350625,0.446667,0.65,Person
34,86e5bc9c181b6d8c.jpg,0.37375,0.44875,0.436667,0.6,Person
35,86e5bc9c181b6d8c.jpg,0.624375,0.6675,0.465833,0.556667,Person
36,86e5bc9c181b6d8c.jpg,0.726875,0.771875,0.4625,0.55,Person
37,77c9bb92f2fb2fcb.jpg,0.03625,0.24875,0.230769,0.728893,Person
